,City College (MD),,,Central (PA),,,PG Poly (MD),,,Brooklyn Tech (NY),,,Ramsey (NJ),,,Phoebus (VA),,,Oscar Smith (VA),,,Canton McKinley (OH),,,Mount Carmel (IL),,,Steubenville (OH),,,Male (KY),,,East St. Louis (IL),,,Moeller (OH),,,Massillon (OH),,,,,
Steubenville (OH),5,10,0.333,10,2,0.833,9,3,0.750,10,2,0.833,8,4,0.667,9,3,0.750,8,4,0.667,24,5,0.828,17,12,0.586,,,,21,8,0.724,19,10,0.655,22,7,0.759,18,11,0.621,,,
Male (KY),4,8,0.333,5,10,0.333,6,6,0.500,7,5,0.583,6,6,0.500,5,7,0.417,5,7,0.417,13,16,0.448,13,16,0.448,8,21,0.276,,,,9,20,0.310,16,13,0.552,12,16,0.429,,,
East St. Louis (IL),6,6,0.500,6,6,0.500,10,5,0.667,9,3,0.750,8,4,0.667,7,5,0.583,7,5,0.583,18,11,0.621,19,10,0.655,10,19,0.345,20,9,0.690,,,,21,8,0.724,12,17,0.414,,,
Moeller (OH),3,9,0.250,3,9,0.250,5,7,0.417,9,6,0.600,5,7,0.417,4,8,0.333,4,8,0.333,11,18,0.379,12,17,0.414,7,22,0.241,13,16,0.448,8,21,0.276,,,,13,16,0.448,,,
Massillon (OH),2,10,0.167,7,5,0.583,6,6,0.500,10,2,0.833,8,7,0.533,6,6,0.500,4,8,0.333,17,12,0.586,21,8,0.724,11,18,0.379,16,12,0.571,17,12,0.586,16,13,0.552,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
